year,engine size,automatic transmission,mileage,fuel type,tax,mpg,price
2003,1.4,no,109090.0,petrol,235.0,40.0,650.0
2002,1.6,no,105000.0,petrol,300.0,35.8,1095.0
2000,1.3,yes,47000.0,petrol,150.0,38.7,1295.0
2006,1.4,no,141000.0,diesel,125.0,60.1,1295.0
2007,1.6,no,100100.0,petrol,200.0,42.8,1450.0
2000,2.0,no,99209.0,petrol,265.0,29.4,1699.0
2007,1.1,yes,53000.0,petrol,160.0,46.3,1750.0
2006,1.6,no,74055.0,petrol,290.0,35.8,1850.0
2010,1.6,no,100000.0,petrol,200.0,42.2,1990.0
2006,1.2,no,56998.0,petrol,145.0,48.7,1991.0
2004,1.6,no,77000.0,petrol,300.0,36.2,1995.0
2009,1.2,no,55000.0,petrol,30.0,56.5,1995.0
2011,1.4,no,89000.0,petrol,160.0,45.6,2200.0
2005,2.0,no,87530.0,petrol,235.0,39.8,2295.0
2008,2.0,no,111000.0,diesel,155.0,48.7,2295.0
2008,1.6,no,89000.0,petrol,205.0,42.2,2375.0
2007,2.0,no,144000.0,diesel,240.0,44.1,2400.0
2009,1.4,no,86022.0,petrol,205.0,43.5,2491.0
2007,2.0,no,90631.0,petrol,300.0,35.3,2495.0
2007,1.4,no,78580.0,petrol,200.0,42.2,2495.0
2012,1.4,no,130000.0,petrol,145.0,47.9,2495.0
2005,1.4,no,88150.0,diesel,125.0,58.9,2495.0
2007,1.8,no,82000.0,petrol,235.0,39.8,2695.0
2008,1.3,no,90000.0,petrol,160.0,47.1,2695.0
2009,1.0,no,74095.0,petrol,0.0,65.7,2699.0
2010,1.2,no,48412.0,petrol,125.0,53.3,2790.0
2008,2.0,no,148297.0,diesel,200.0,46.3,2795.0
2009,1.1,no,67887.0,petrol,30.0,56.5,2799.0
2011,1.7,no,81000.0,diesel,30.0,62.8,2880.0
2007,2.0,yes,54000.0,petrol,300.0,34.9,2895.0
2002,2.0,yes,80586.0,petrol,330.0,30.7,2990.0
2009,1.6,no,68000.0,petrol,200.0,42.2,2990.0
2010,1.0,no,69000.0,petrol,20.0,62.8,2990.0
2009,1.2,no,79089.0,petrol,145.0,49.6,2991.0
2009,2.0,no,90000.0,diesel,200.0,47.1,2995.0
2007,1.6,yes,98865.0,petrol,300.0,36.2,2999.0
2007,1.4,no,83000.0,petrol,205.0,43.5,2999.0
2009,1.2,no,73000.0,petrol,150.0,49.6,3000.0
2010,1.4,no,68000.0,petrol,125.0,51.4,3195.0
2013,1.2,no,110000.0,petrol,125.0,51.4,3250.0
