cap_shape,cap_surface,cap_colour,bruises,odour,gill_attachment,gill_spacing,gill_size,gill_colour,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_colour_above_ring,stalk_colour_below_ring,veil_type,veil_colour,ring_number,ring_type,spore_print_colour,population,habitat,classification
convex,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,grey,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,grey,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,grey,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,grey,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,white,no,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,grey,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,grey,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,grey,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,grey,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,brown,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,grey,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,grey,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,grey,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,grey,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,white,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,white,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,white,no,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,brown,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,grey,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,grey,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,grey,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,grey,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,white,no,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,brown,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,grey,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,grey,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,grey,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,grey,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,white,no,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,grey,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,grey,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,grey,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,grey,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,fibrous,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
flat,smooth,white,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
convex,fibrous,brown,no,none,free,crowded,broad,chocolate,tapering,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,edible
