fare,passenger class,is male,age,no. siblings/spouses aboard,no. parents/children aboard,survived
18.79 3.0 1.0 11.0 0.0 0.0 0
7.85 3.0 0.0 14.0 0.0 0.0 0
10.5 2.0 1.0 16.0 0.0 0.0 0
26.0 2.0 1.0 16.0 0.0 0.0 0
7.78 3.0 1.0 16.0 0.0 0.0 0
8.05 3.0 1.0 16.0 0.0 0.0 0
8.71 3.0 1.0 16.0 0.0 0.0 0
9.22 3.0 1.0 16.0 0.0 0.0 0
9.5 3.0 1.0 16.0 0.0 0.0 0
14.46 3.0 0.0 17.0 0.0 0.0 0
7.12 3.0 1.0 17.0 0.0 0.0 0
7.23 3.0 1.0 17.0 0.0 0.0 0
7.75 3.0 1.0 17.0 0.0 0.0 0
8.66 3.0 1.0 17.0 0.0 0.0 0
8.66 3.0 1.0 17.0 0.0 0.0 0
8.66 3.0 1.0 17.0 0.0 0.0 0
6.75 3.0 0.0 18.0 0.0 0.0 0
7.78 3.0 0.0 18.0 0.0 0.0 0
11.5 2.0 1.0 18.0 0.0 0.0 0
11.5 2.0 1.0 18.0 0.0 0.0 0
13.0 2.0 1.0 18.0 0.0 0.0 0
73.5 2.0 1.0 18.0 0.0 0.0 0
7.22 3.0 1.0 18.0 0.0 0.0 0
7.23 3.0 1.0 18.0 0.0 0.0 0
7.25 3.0 1.0 18.0 0.0 0.0 0
7.73 3.0 1.0 18.0 0.0 0.0 0
7.75 3.0 1.0 18.0 0.0 0.0 0
7.78 3.0 1.0 18.0 0.0 0.0 0
7.8 3.0 1.0 18.0 0.0 0.0 0
8.3 3.0 1.0 18.0 0.0 0.0 0
0.0 2.0 1.0 19.0 0.0 0.0 0
10.5 2.0 1.0 19.0 0.0 0.0 0
13.0 2.0 1.0 19.0 0.0 0.0 0
0.0 3.0 1.0 19.0 0.0 0.0 0
6.75 3.0 1.0 19.0 0.0 0.0 0
7.65 3.0 1.0 19.0 0.0 0.0 0
7.73 3.0 1.0 19.0 0.0 0.0 0
7.75 3.0 1.0 19.0 0.0 0.0 0
7.78 3.0 1.0 19.0 0.0 0.0 0
7.9 3.0 1.0 19.0 0.0 0.0 0
7.9 3.0 1.0 19.0 0.0 0.0 0
7.9 3.0 1.0 19.0 0.0 0.0 0
8.05 3.0 1.0 19.0 0.0 0.0 0
8.05 3.0 1.0 19.0 0.0 0.0 0
8.16 3.0 1.0 19.0 0.0 0.0 0
10.17 3.0 1.0 19.0 0.0 0.0 0
14.5 3.0 1.0 19.0 0.0 0.0 0
8.66 3.0 0.0 20.0 0.0 0.0 0
4.01 3.0 1.0 20.0 0.0 0.0 0
7.05 3.0 1.0 20.0 0.0 0.0 0
7.75 3.0 1.0 20.0 0.0 0.0 0
7.75 3.0 1.0 20.0 0.0 0.0 0
7.85 3.0 1.0 20.0 0.0 0.0 0
7.85 3.0 1.0 20.0 0.0 0.0 0
7.9 3.0 1.0 20.0 0.0 0.0 0
7.92 3.0 1.0 20.0 0.0 0.0 0
8.05 3.0 1.0 20.0 0.0 0.0 0
8.05 3.0 1.0 20.0 0.0 0.0 0
8.05 3.0 1.0 20.0 0.0 0.0 0
8.66 3.0 1.0 20.0 0.0 0.0 0
9.22 3.0 1.0 20.0 0.0 0.0 0
9.5 3.0 1.0 20.0 0.0 0.0 0
9.85 3.0 1.0 20.0 0.0 0.0 0
7.25 3.0 1.0 20.5 0.0 0.0 0
7.55 3.0 0.0 21.0 0.0 0.0 0
7.63 3.0 0.0 21.0 0.0 0.0 0
7.75 3.0 0.0 21.0 0.0 0.0 0
7.75 3.0 0.0 21.0 0.0 0.0 0
0.0 2.0 1.0 21.0 0.0 0.0 0
0.0 2.0 1.0 21.0 0.0 0.0 0
73.5 2.0 1.0 21.0 0.0 0.0 0
7.05 3.0 1.0 21.0 0.0 0.0 0
7.25 3.0 1.0 21.0 0.0 0.0 0
7.55 3.0 1.0 21.0 0.0 0.0 0
7.73 3.0 1.0 21.0 0.0 0.0 0
7.78 3.0 1.0 21.0 0.0 0.0 0
7.8 3.0 1.0 21.0 0.0 0.0 0
7.83 3.0 1.0 21.0 0.0 0.0 0
7.85 3.0 1.0 21.0 0.0 0.0 0
7.92 3.0 1.0 21.0 0.0 0.0 0
7.92 3.0 1.0 21.0 0.0 0.0 0
8.05 3.0 1.0 21.0 0.0 0.0 0
8.05 3.0 1.0 21.0 0.0 0.0 0
8.43 3.0 1.0 21.0 0.0 0.0 0
8.66 3.0 1.0 21.0 0.0 0.0 0
16.1 3.0 1.0 21.0 0.0 0.0 0
9.84 3.0 0.0 22.0 0.0 0.0 0
10.52 3.0 0.0 22.0 0.0 0.0 0
135.63 1.0 1.0 22.0 0.0 0.0 0
0.0 2.0 1.0 22.0 0.0 0.0 0
7.12 3.0 1.0 22.0 0.0 0.0 0
7.23 3.0 1.0 22.0 0.0 0.0 0
7.25 3.0 1.0 22.0 0.0 0.0 0
7.25 3.0 1.0 22.0 0.0 0.0 0
7.52 3.0 1.0 22.0 0.0 0.0 0
7.72 3.0 1.0 22.0 0.0 0.0 0
7.74 3.0 1.0 22.0 0.0 0.0 0
7.75 3.0 1.0 22.0 0.0 0.0 0
7.8 3.0 1.0 22.0 0.0 0.0 0
7.9 3.0 1.0 22.0 0.0 0.0 0
7.9 3.0 1.0 22.0 0.0 0.0 0
7.9 3.0 1.0 22.0 0.0 0.0 0
8.05 3.0 1.0 22.0 0.0 0.0 0
8.05 3.0 1.0 22.0 0.0 0.0 0
8.05 3.0 1.0 22.0 0.0 0.0 0
8.05 3.0 1.0 22.0 0.0 0.0 0
9.0 3.0 1.0 22.0 0.0 0.0 0
9.35 3.0 1.0 22.0 0.0 0.0 0
7.92 3.0 0.0 23.0 0.0 0.0 0
10.5 2.0 1.0 23.0 0.0 0.0 0
13.0 2.0 1.0 23.0 0.0 0.0 0
13.0 2.0 1.0 23.0 0.0 0.0 0
13.0 2.0 1.0 23.0 0.0 0.0 0
15.05 2.0 1.0 23.0 0.0 0.0 0
7.22 3.0 1.0 23.0 0.0 0.0 0
7.85 3.0 1.0 23.0 0.0 0.0 0
7.9 3.0 1.0 23.0 0.0 0.0 0
7.9 3.0 1.0 23.0 0.0 0.0 0
7.9 3.0 1.0 23.0 0.0 0.0 0
7.9 3.0 1.0 23.0 0.0 0.0 0
7.9 3.0 1.0 23.0 0.0 0.0 0
9.22 3.0 1.0 23.0 0.0 0.0 0
9.5 3.0 1.0 23.0 0.0 0.0 0
14.5 3.0 1.0 23.0 0.0 0.0 0
56.5 3.0 1.0 23.0 0.0 0.0 0
7.23 3.0 1.0 23.5 0.0 0.0 0
13.0 2.0 0.0 24.0 0.0 0.0 0
8.85 3.0 0.0 24.0 0.0 0.0 0
79.2 1.0 1.0 24.0 0.0 0.0 0
10.5 2.0 1.0 24.0 0.0 0.0 0
13.0 2.0 1.0 24.0 0.0 0.0 0
7.05 3.0 1.0 24.0 0.0 0.0 0
7.5 3.0 1.0 24.0 0.0 0.0 0
7.8 3.0 1.0 24.0 0.0 0.0 0
7.9 3.0 1.0 24.0 0.0 0.0 0
8.05 3.0 1.0 24.0 0.0 0.0 0
8.05 3.0 1.0 24.0 0.0 0.0 0
9.5 3.0 1.0 24.0 0.0 0.0 0
8.05 3.0 1.0 24.5 0.0 0.0 0
7.78 3.0 0.0 25.0 0.0 0.0 0
13.0 2.0 1.0 25.0 0.0 0.0 0
13.0 2.0 1.0 25.0 0.0 0.0 0
13.0 2.0 1.0 25.0 0.0 0.0 0
7.05 3.0 1.0 25.0 0.0 0.0 0
7.05 3.0 1.0 25.0 0.0 0.0 0
7.22 3.0 1.0 25.0 0.0 0.0 0
7.25 3.0 1.0 25.0 0.0 0.0 0
7.65 3.0 1.0 25.0 0.0 0.0 0
7.74 3.0 1.0 25.0 0.0 0.0 0
7.9 3.0 1.0 25.0 0.0 0.0 0
10.5 2.0 1.0 26.0 0.0 0.0 0
7.22 3.0 1.0 26.0 0.0 0.0 0
7.78 3.0 1.0 26.0 0.0 0.0 0
7.89 3.0 1.0 26.0 0.0 0.0 0
7.9 3.0 1.0 26.0 0.0 0.0 0
7.9 3.0 1.0 26.0 0.0 0.0 0
8.05 3.0 1.0 26.0 0.0 0.0 0
14.46 3.0 1.0 26.0 0.0 0.0 0
13.0 2.0 1.0 27.0 0.0 0.0 0
13.0 2.0 1.0 27.0 0.0 0.0 0
26.0 2.0 1.0 27.0 0.0 0.0 0
6.86 3.0 1.0 27.0 0.0 0.0 0
7.31 3.0 1.0 27.0 0.0 0.0 0
7.9 3.0 1.0 27.0 0.0 0.0 0
7.9 3.0 1.0 27.0 0.0 0.0 0
7.9 3.0 1.0 27.0 0.0 0.0 0
8.46 3.0 1.0 27.0 0.0 0.0 0
7.9 3.0 0.0 28.0 0.0 0.0 0
8.14 3.0 0.0 28.0 0.0 0.0 0
31.0 1.0 1.0 28.0 0.0 0.0 0
47.1 1.0 1.0 28.0 0.0 0.0 0
10.5 2.0 1.0 28.0 0.0 0.0 0
13.0 2.0 1.0 28.0 0.0 0.0 0
13.5 2.0 1.0 28.0 0.0 0.0 0
