fare,passenger_class,is_male,age,num_siblings/spouses_aboard,num_parents/children_aboard,classification
12.48,3,no,5,0,0,did_survive
7.23,3,no,13,0,0,did_survive
7.22,3,no,15,0,0,did_survive
8.03,3,no,15,0,0,did_survive
86.5,1,no,16,0,0,did_survive
7.73,3,no,16,0,0,did_survive
7.75,3,no,16,0,0,did_survive
7.83,3,no,16,0,0,did_survive
8.05,3,yes,16,0,0,did_survive
10.5,2,no,17,0,0,did_survive
12.0,2,no,17,0,0,did_survive
7.5,3,no,18,0,0,did_survive
7.75,3,no,18,0,0,did_survive
9.84,3,no,18,0,0,did_survive
7.23,3,yes,18,0,0,did_survive
8.05,3,yes,18,0,0,did_survive
30.0,1,no,19,0,0,did_survive
26.0,2,no,19,0,0,did_survive
7.73,3,no,19,0,0,did_survive
7.88,3,no,19,0,0,did_survive
10.5,2,yes,19,0,0,did_survive
7.75,3,yes,19,0,0,did_survive
8.05,3,yes,19,0,0,did_survive
7.75,3,no,20,0,0,did_survive
7.23,3,yes,20,0,0,did_survive
77.96,1,no,21,0,0,did_survive
10.5,2,no,21,0,0,did_survive
7.65,3,no,21,0,0,did_survive
7.75,3,no,21,0,0,did_survive
7.8,3,yes,21,0,0,did_survive
151.55,1,no,22,0,0,did_survive
7.22,3,no,22,0,0,did_survive
7.25,3,no,22,0,0,did_survive
7.75,3,no,22,0,0,did_survive
7.75,3,no,22,0,0,did_survive
7.75,3,no,22,0,0,did_survive
7.75,3,no,22,0,0,did_survive
7.78,3,no,22,0,0,did_survive
7.88,3,no,22,0,0,did_survive
7.22,3,yes,22,0,0,did_survive
13.79,2,no,23,0,0,did_survive
7.55,3,no,23,0,0,did_survive
7.88,3,no,23,0,0,did_survive
13.0,2,yes,23,0,0,did_survive
49.5,1,no,24,0,0,did_survive
69.3,1,no,24,0,0,did_survive
69.3,1,no,24,0,0,did_survive
83.16,1,no,24,0,0,did_survive
13.0,2,no,24,0,0,did_survive
7.88,3,no,24,0,0,did_survive
7.14,3,yes,24,0,0,did_survive
0.0,3,yes,25,0,0,did_survive
78.85,1,no,26,0,0,did_survive
7.85,3,no,26,0,0,did_survive
7.92,3,no,26,0,0,did_survive
30.0,1,yes,26,0,0,did_survive
18.79,3,yes,26,0,0,did_survive
56.5,3,yes,26,0,0,did_survive
10.5,2,no,27,0,0,did_survive
7.75,3,no,27,0,0,did_survive
7.92,3,no,27,0,0,did_survive
30.5,1,yes,27,0,0,did_survive
76.73,1,yes,27,0,0,did_survive
13.86,2,yes,27,0,0,did_survive
6.98,3,yes,27,0,0,did_survive
7.8,3,yes,27,0,0,did_survive
8.66,3,yes,27,0,0,did_survive
12.65,2,no,28,0,0,did_survive
13.0,2,no,28,0,0,did_survive
13.0,2,no,28,0,0,did_survive
7.74,3,no,28,0,0,did_survive
26.55,1,yes,28,0,0,did_survive
35.5,1,yes,28,0,0,did_survive
211.34,1,no,29,0,0,did_survive
10.5,2,no,29,0,0,did_survive
29.7,1,yes,29,0,0,did_survive
7.75,3,yes,29,0,0,did_survive
7.78,3,yes,29,0,0,did_survive
7.9,3,yes,29,0,0,did_survive
8.11,3,yes,29,0,0,did_survive
9.5,3,yes,29,0,0,did_survive
31.0,1,no,30,0,0,did_survive
56.93,1,no,30,0,0,did_survive
86.5,1,no,30,0,0,did_survive
93.5,1,no,30,0,0,did_survive
106.42,1,no,30,0,0,did_survive
12.35,2,no,30,0,0,did_survive
13.0,2,no,30,0,0,did_survive
12.48,3,no,30,0,0,did_survive
9.5,3,yes,30,0,0,did_survive
33.0,2,no,31,0,0,did_survive
7.79,3,no,31,0,0,did_survive
8.68,3,no,31,0,0,did_survive
13.0,2,yes,31,0,0,did_survive
7.92,3,yes,31,0,0,did_survive
76.29,1,no,32,0,0,did_survive
13.0,2,no,32,0,0,did_survive
30.5,1,yes,32,0,0,did_survive
7.85,3,yes,32,0,0,did_survive
7.92,3,yes,32,0,0,did_survive
8.05,3,yes,32,0,0,did_survive
56.5,3,yes,32,0,0,did_survive
56.5,3,yes,32,0,0,did_survive
56.5,3,yes,32,0,0,did_survive
13.0,2,no,32,0,0,did_survive
86.5,1,no,33,0,0,did_survive
7.75,3,no,33,0,0,did_survive
10.5,2,no,34,0,0,did_survive
13.0,2,no,34,0,0,did_survive
26.55,1,yes,34,0,0,did_survive
13.0,2,yes,34,0,0,did_survive
135.63,1,no,35,0,0,did_survive
512.33,1,no,35,0,0,did_survive
21.0,2,no,35,0,0,did_survive
7.23,3,no,35,0,0,did_survive
26.29,1,yes,35,0,0,did_survive
26.55,1,yes,35,0,0,did_survive
512.33,1,yes,35,0,0,did_survive
135.63,1,no,36,0,0,did_survive
13.0,2,no,36,0,0,did_survive
13.0,2,no,36,0,0,did_survive
26.29,1,yes,36,0,0,did_survive
26.39,1,yes,36,0,0,did_survive
26.55,1,yes,37,0,0,did_survive
56.5,3,yes,37,0,0,did_survive
79.2,1,no,38,0,0,did_survive
80.0,1,no,38,0,0,did_survive
227.52,1,no,38,0,0,did_survive
7.92,3,yes,39,0,0,did_survive
153.46,1,no,40,0,0,did_survive
13.0,2,no,40,0,0,did_survive
15.75,2,no,40,0,0,did_survive
31.0,1,yes,40,0,0,did_survive
134.5,1,no,41,0,0,did_survive
110.88,1,no,42,0,0,did_survive
227.52,1,no,42,0,0,did_survive
13.0,2,no,42,0,0,did_survive
26.29,1,yes,42,0,0,did_survive
13.0,2,yes,42,0,0,did_survive
27.72,1,no,44,0,0,did_survive
7.92,3,yes,44,0,0,did_survive
13.5,2,no,45,0,0,did_survive
26.55,1,yes,45,0,0,did_survive
30.0,1,yes,45,0,0,did_survive
8.05,3,yes,45,0,0,did_survive
12.35,2,no,46,0,0,did_survive
35.5,1,yes,46,0,0,did_survive
30.5,1,yes,47,0,0,did_survive
25.93,1,no,48,0,0,did_survive
26.55,1,yes,48,0,0,did_survive
25.93,1,no,49,0,0,did_survive
10.5,2,no,50,0,0,did_survive
10.5,2,no,50,0,0,did_survive
26.55,1,yes,51,0,0,did_survive
30.5,1,yes,52,0,0,did_survive
16.0,2,no,55,0,0,did_survive
35.5,1,yes,56,0,0,did_survive
26.55,1,no,58,0,0,did_survive
146.52,1,no,58,0,0,did_survive
80.0,1,no,62,0,0,did_survive
10.5,2,yes,62,0,0,did_survive
9.59,3,no,63,0,0,did_survive
30.0,1,yes,80,0,0,did_survive
11.24,3,yes,12,1,0,did_survive
30.07,2,no,14,1,0,did_survive
11.24,3,no,14,1,0,did_survive
14.45,3,no,15,1,0,did_survive
57.0,1,no,17,1,0,did_survive
108.9,1,no,17,1,0,did_survive
227.52,1,no,18,1,0,did_survive
15.5,3,no,18,1,0,did_survive
15.5,3,no,18,1,0,did_survive
91.08,1,no,19,1,0,did_survive
26.0,2,no,19,1,0,did_survive
7.85,3,no,19,1,0,did_survive
7.92,3,yes,20,1,0,did_survive
